TREAT	INTENSITY	COLBLUM
RAND	_0.5	8.091912646
RAND	_0.5	12.28112475
RAND	_0.5	12.57014438
RAND	_0.5	13.08271343
RAND	_0.5	5.527291904
RAND	_0.5	9.404187677
RAND	_0.5	9.603158459
RAND	_0.5	12.99767922
RAND	_0.5	15.20659287
RAND	_0.5	14.75489703
RAND	_0.5	10.64000322
RAND	_0.5	13.14747979
RAND	_0.5	8.13639264
RAND	_0.5	8.944359467
RAND	_0.5	10.47380365
RAND	_0.5	11.41384997
RAND	_0.5	11.59432852
RAND	_0.5	8.746441198
RAND	_0.5	14.51559456
RAND	_0.5	14.49343588
RAND	_0.5	14.68650514
RAND	_0.5	13.49217308
RAND	_0.5	7.985264717
RAND	_0.5	13.04224747
RAND	_0.5	8.080104693
RAND	_0.5	10.77975891
RAND	_0.5	14.06070518
RAND	_0.5	11.26535274
RAND	_0.5	8.883055991
RAND	_0.5	8.144709706
RAND	_0.5	9.985144403
RAND	_0.5	9.272809421
RAND	_0.5	8.782498604
RAND	_0.5	21.40479546
RAND	_0.5	11.40424262
RAND	_0.5	10.8305483
RAND	_0.5	17.95299256
RAND	_0.5	17.53924967
RAND	_0.5	9.78390322
RAND	_0.5	10.18222388
RAND	_0.5	8.21584427
RAND	_0.5	15.46931125
RAND	_0.5	11.35165411
RAND	_0.5	15.75713356
RAND	_0.5	10.56843295
RAND	_0.5	13.7793494
RAND	_0.5	12.37601164
RAND	_0.5	9.91567695
RAND	_0.5	9.16655303
RAND	_0.5	12.83677268
RAND	_0.5	10.46004172
RAND	_0.5	9.40780043
RAND	_0.5	13.52944117
RAND	_0.5	6.729791086
RAND	_0.5	10.35309103
RAND	_0.5	10.21426002
RAND	_0.5	10.64034569
RAND	_0.5	12.61096623
RAND	_0.5	6.705413031
RAND	_0.5	13.41567795
RAND	_0.5	12.92699658
RAND	_0.5	12.86400251
RAND	_0.5	10.0898145
RAND	_0.5	17.28765572
RAND	_0.5	15.25036462
RAND	_0.5	9.181793719
RAND	_0.5	7.187796362
RAND	_0.5	12.53099968
RAND	_0.5	10.96783372
RAND	_0.5	11.84420192
RAND	_0.5	14.58086389
RAND	_0.5	11.41617785
RAND	_0.5	5.787389397
RAND	_0.5	14.06805233
RAND	_0.5	9.111928082
RAND	_0.5	8.047139464
RAND	_0.5	10.95320814
RAND	_0.5	10.53667168
RAND	_0.5	11.58079435
RAND	_0.5	6.869432435
RAND	_0.5	9.63902299
RAND	_0.5	12.13495701
RAND	_0.5	11.86201812
RAND	_0.5	10.40418827
RAND	_0.5	7.924600379
RAND	_0.5	11.92706709
RAND	_0.5	10.70193522
RAND	_0.5	12.65890253
RAND	_0.5	12.19805625
RAND	_0.5	17.30537453
