TREAT	INTENSITY	COLBLUM
RAND	_0.5	0.510128449
RAND	_0.5	10.63269435
RAND	_0.5	6.72185656
RAND	_0.5	2.822952152
RAND	_0.5	3.269408806
RAND	_0.5	7.512879747
RAND	_0.5	-0.150825275
RAND	_0.5	6.007222704
RAND	_0.5	5.17518062
RAND	_0.5	6.968206946
RAND	_0.5	6.18665114
RAND	_0.5	5.800104693
RAND	_0.5	3.615779422
RAND	_0.5	0.988219803
RAND	_0.5	5.363780943
RAND	_0.5	3.782171718
RAND	_0.5	2.51876234
RAND	_0.5	2.446724617
RAND	_0.5	2.043952178
RAND	_0.5	2.116850381
RAND	_0.5	13.74166261
RAND	_0.5	7.722010542
RAND	_0.5	5.955173277
RAND	_0.5	0.469388104
RAND	_0.5	3.634428368
RAND	_0.5	2.10609296
RAND	_0.5	6.394209712
RAND	_0.5	3.226728613
RAND	_0.5	5.172139622
RAND	_0.5	4.232934547
RAND	_0.5	4.01026884
RAND	_0.5	2.04803381
RAND	_0.5	7.899050652
RAND	_0.5	3.745050027
RAND	_0.5	5.01536211
RAND	_0.5	5.280413643
RAND	_0.5	3.988953834
RAND	_0.5	5.460599753
RAND	_0.5	9.205134342
RAND	_0.5	5.841913609
RAND	_0.5	4.559821754
RAND	_0.5	15.46931125
RAND	_0.5	11.35165411
RAND	_0.5	1.656124978
RAND	_0.5	3.932187569
RAND	_0.5	4.714704377
RAND	_0.5	4.742780863
RAND	_0.5	8.634036783
RAND	_0.5	7.576053427
RAND	_0.5	2.59773907
RAND	_0.5	6.618312681
RAND	_0.5	8.964654304
RAND	_0.5	0.376903145
RAND	_0.5	2.682223879
RAND	_0.5	9.28959073
RAND	_0.5	6.558689955
RAND	_0.5	7.606562315
RAND	_0.5	2.449057645
RAND	_0.5	5.681137973
RAND	_0.5	5.629736301
RAND	_0.5	3.458918164
RAND	_0.5	6.716095198
RAND	_0.5	3.093137797
RAND	_0.5	14.16636034
RAND	_0.5	9.990162111
RAND	_0.5	4.442387456
RAND	_0.5	2.375143232
RAND	_0.5	11.28174324
RAND	_0.5	10.51315854
RAND	_0.5	10.83945809
RAND	_0.5	13.23692531
RAND	_0.5	2.264458086
RAND	_0.5	4.034474768
RAND	_0.5	5.463552969
RAND	_0.5	8.693406114
RAND	_0.5	6.146999957
RAND	_0.5	5.560222171
RAND	_0.5	3.103552969
RAND	_0.5	9.915648163
RAND	_0.5	6.421788647
RAND	_0.5	6.995966762
RAND	_0.5	4.075553629
RAND	_0.5	11.64497109
RAND	_0.5	8.877681507
RAND	_0.5	1.873171041
RAND	_0.5	4.513297945
RAND	_0.5	8.19324941
RAND	_0.5	1.861255387
RAND	_0.5	8.110314941
RAND	_0.5	14.73945809
RAND	_0.5	5.249001865
RAND	_0.5	4.790399133
RAND	_0.5	8.940465637
RAND	_0.5	8.225218008
RAND	_0.5	0.948607224
RAND	_0.5	9.511114546
RAND	_0.5	5.964851186
RAND	_0.5	8.754587452
RAND	_0.5	6.654928014
RAND	_0.5	4.140695206
HITRT	_0.5	2.449759866
HITRT	_0.5	8.150249872
HITRT	_0.5	18.39006033
HITRT	_0.5	1.903243888
HITRT	_0.5	14.73849074
HITRT	_0.5	8.114818287
